LBA,Frequency
3154132992,116567
3154137088,116566
200626176,43422
3154128896,32003
3154124800,32003
1023475712,28948
1417940992,16654
663928832,16654
432615424,16654
1316483072,16653
702128128,16652
571084800,16651
3227648000,15625
3229863936,15622
3224608768,15145
11812225024,15047
13574999040,14878
6334689280,14825
3227922432,14744
1024086016,14474
1023476224,14474
1042001920,14474
1024087040,14474
1024091136,14474
1064435712,14432
1023483904,13413
13574987776,13105
13574994432,9595
3282030592,9217
9186996224,9159
3224940544,9018
3221770240,8455
13570785280,8350
1068384256,8092
1076269056,8074
3232870400,8049
12024070144,7976
1064436736,7960
3260215296,7892
1068385280,7879
200953856,7838
211292160,7834
13574994944,7796
210767872,7708
3233579008,7295
9380630528,7139
5976707072,7139
13574998528,6808
13574996992,6787
13574997504,6395
1042002944,5955
13574995456,5672
13574992896,5600
13574999552,5575
13574992384,4736
13574993408,4423
6202249216,4391
13575000064,4152
1709178880,3756
13575000576,3719
13574995968,3471
3253665792,3433
13574996480,3336
10916937728,3296
13575001088,3028
13574998016,3008
13575004160,2920
1659838464,2899
3221237760,2887
3269079040,2840
3229868032,2794
9186988032,2760
12024078336,2718
13575003136,2348
13575051264,2299
3260657664,2152
353968128,2093
3269107712,1995
13575111168,1916
1448779776,1860
3224870912,1847
12024061952,1816
6187094016,1781
13575016960,1745
13575104512,1745
9187004416,1691
13575017472,1682
13575004672,1682
1076277248,1653
12397563904,1652
1076270080,1647
13575011328,1632
1076285440,1626
1076278272,1616
13575015424,1612
1489924096,1566
6202257408,1524
1829363712,1520
13575016448,1509
13575009280,1495
13575014400,1487
13575010816,1484
13575021056,1452
3227525120,1416
13575041536,1410
13574993920,1401
13575056384,1387
13575008768,1381
1192341504,1370
13575023616,1365
3224842240,1355
13575003648,1341
11075956736,1312
13575019520,1310
3258744832,1292
12540481536,1280
21934080,1277
3258720256,1272
1564618752,1240
13575040000,1231
13575010304,1230
3258654720,1223
13575025664,1201
13575005184,1195
1014927360,1194
13575002624,1188
1192783872,1179
13575013376,1161
1336467456,1160
13575019008,1160
1385840640,1159
1429082112,1159
3269058560,1149
13575012352,1149
13575027200,1129
13575025152,1115
13575001600,1113
1053876224,1109
13575012864,1099
57733120,1092
1192521728,1091
9102016512,1084
22728704,1064
9101664256,1059
13575029760,1057
13575022592,1051
1612193792,1042
3224903680,1035
13575053824,1027
209457152,1023
13575015936,1010
1511247872,1007
5514133504,991
9101656064,965
13575007232,954
1485787136,954
13575036928,946
13575029248,940
1192488960,938
13575021568,937
1448796160,936
13574988800,926
13574991872,926
13570787328,926
13574989312,926
13570787840,926
13570788864,926
13570786304,926
13574988288,926
13570785792,926
13570786816,926
13570789376,926
13570788352,926
13574989824,926
13574990848,926
13574991360,926
13574990336,926
12375101440,926
1226874880,926
1159499776,924
12355076096,916
1408786432,916
13575005696,916
13575026176,913
22884352,911
1160310784,909
12345327616,908
1233862656,908
13570789888,908
3258728448,895
13575035904,891
13575014912,887
13570793984,881
6361284608,871
1192439808,868
3227586560,858
13575045632,857
1518841856,854
1192751104,853
13575033344,852
13575042048,852
11974295552,851
3282001920,844
13575030784,839
1327046656,838
515072000,833
13575006720,829
13570798080,823
1746489344,819
5694652416,816
13575007744,811
6153293824,800
13575018496,796
13575036416,792
9101660160,791
13575006208,791
9101991936,783
9029472256,780
13575040512,774
13575009792,772
13575028736,759
1192603648,755
13575046144,751
13575037440,749
3262033920,744
13575013888,740
9101672448,739
9187012608,734
13575024128,733
13575023104,732
3282014208,729
1023488000,728
13575011840,723
1829298176,718
9736568832,714
3261829120,707
6153097216,704
13575017984,692
9102065664,683
12540489728,679
6289686528,673
13575035392,673
6289580032,672
9102036992,671
1159811072,656
5694734336,655
13575002112,651
1189314560,646
12045660160,643
13575064064,634
13570802176,633
1159557120,633
105701376,630
12462292992,627
1192284160,619
1708265472,617
3224735744,611
1408856064,603
1159589888,602
9101697024,597
835952640,587
13575049728,586
3253575680,585
13570806272,583
6361333760,578
13575032320,576
11611348992,574
3258617856,573
13575065600,573
21958656,572
13575049216,570
13575038464,568
13575020544,567
9102000128,564
13575026688,564
22523904,564
22704128,562
13575044096,554
9101701120,545
1485623296,544
993345536,543
13570810368,538
6361341952,525
150925312,524
3282214912,522
3282096128,522
3282112512,517
3282067456,516
13575020032,515
12376649728,513
12374872064,513
12381646848,513
12381581312,513
13579190272,513
13579191808,513
13579190784,513
13579192320,513
13579191296,513
13579192832,513
13579193344,513
13579194368,513
13579193856,513
13583392768,513
13583393280,513
13583396352,513
13583395328,513
13583394304,513
13583396864,513
13583395840,513
13583394816,513
13583393792,513
586178560,513
1514713088,513
1462132736,513
12365844480,513
12355289088,513
5711007744,513
7605579776,513
7605583872,513
5711008256,513
7605581824,513
7605580288,513
7605582336,513
5711011840,513
5711009280,513
5711009792,513
7605581312,513
7605582848,513
5711008768,513
7605583360,513
7605580800,513
5711011328,513
5711010816,513
5711010304,513
12520116224,513
177774592,512
536555520,510
1160441856,505
136220672,496
3268567040,495
3282190336,491
13570814464,490
1160073216,490
13575033856,489
250400768,481
3262070784,477
13575022080,477
6426628096,476
13575024640,476
13575034880,475
13575062016,474
3264335872,468
12664410112,461
3242176512,460
12516438016,457
13570818560,457
12593942528,451
