LBA,Frequency
3154132992,132407
3201662976,11
3154124800,35859
57819136,97
57823232,97
57806848,59
3154137088,132406
57810944,59
156237824,4
3201683456,8
1509126144,139
3240710144,187
3233218560,13053
1253568512,70
1214406656,13304
1509126656,70
1509127680,70
1253570048,70
1253578240,23
2431823872,207
2434658304,12
2431676416,19
3201687552,5
3154128896,35858
1897963520,94
3221970944,467
1670541312,1138
2285568,4806
791646208,544
1503571968,24673
532676608,24680
2007007232,24687
3201708032,7
3201724416,12
3235016704,17335
3201728512,9
3229634560,22790
3235012608,12130
3201744896,7
1733902336,4256
1732591616,1647
3201761280,12
1734541312,1273
532672512,24680
1988227072,24688
1367748608,24672
3201765376,7
1521676288,23900
1524264960,11950
1521676800,11950
1524265984,11950
1536593920,11950
1539248128,11565
1536594944,11565
1524270080,11950
1539452928,11522
1539249152,11520
120590336,35850
130699264,11404
120918016,11411
131223552,11454
3201785856,7
3235098624,13105
2437120,230
3201789952,10
3221962752,2987
3201806336,6
1897529344,5724
2701688832,16
3201826816,8
3228614656,308
3201847296,12
674246656,716
3201867776,8
3201884160,11
3201888256,9
3201904640,5
3201908736,10
3201929216,11
3201945600,8
3201966080,9
3201982464,7
3201998848,10
3202002944,7
3202023424,9
3202027520,8
3202043904,6
148910080,2
148914176,6
3029381120,184
2007494656,58
2618052608,14
117604352,10
3202064384,6
3202068480,8
576528384,6190
3202084864,10
3228823552,39
3202088960,6
3222126592,243
3228680192,265
2549301248,323
3202105344,7
117006336,80
554012672,1347
3202121728,6
1899606016,986
461299712,692
3202125824,6
3202146304,15
3202150400,8
3202166784,11
3202183168,9
3202187264,6
3202203648,13
16247026688,12
16247027200,20
3243757568,35
3245711360,39
3221954560,2830
3202224128,6
3202244608,9
3202265088,12
36414808064,191
36414861312,92
3221237760,783
3202269184,11
3202289664,9
3202310144,6
3202326528,7
3202347008,7
3202363392,10
3202379776,4
3202400256,8
3202404352,8
3202408448,4
3202424832,10
3202441216,3
3202445312,9
3202461696,8
3202482176,10
3202498560,4
3202519040,12
3202523136,4
3202527232,5
3202543616,8
3202560000,4
3202564096,3
3202580480,12
3202600960,6
3202617344,12
3202637824,8
3202641920,6
3202662400,8
3202678784,8
3202699264,7
3202715648,6
3202732032,5
3202752512,8
3202756608,5
25907200,141
3202760704,6
3202781184,8
3202797568,9
3202813952,5
3202818048,6
2216841216,2
2216845312,12
2298974208,137
16221097984,9
60731392,14
485085184,15
3202834432,11
3202854912,6
3245600768,129
3223027712,1807
3228684288,1248
3202859008,9
2205716480,1275
1992138752,1802
2064592896,1707
3202875392,7
3202879488,6
3202883584,3
2277376,13384
1644097536,692
576520192,8985
3202899968,11
3202904064,8
3202920448,8
3202936832,7
3202940928,8
3202961408,9
3202977792,7
3202994176,5
3203014656,11
3203018752,11
3203022848,11
3203039232,5
3203059712,7
3203080192,6
3228688384,848
3203096576,7
3203117056,7
3203121152,10
3203141632,11
3203162112,7
3203178496,8
3203198976,10
3203215360,7
3203231744,13
3203252224,8
3203256320,7
3203260416,8
3203280896,8
3203297280,7
3203313664,7
3203317760,7
3203334144,7
3203354624,11
3203371008,5
3203391488,9
3203395584,9
3203416064,11
3203432448,7
3203452928,9
3203469312,6
3203485696,11
3203506176,9
3203510272,7
3203514368,6
3203534848,7
156241920,4
3203551232,11
3203571712,9
3203588096,8
3203604480,9
3203624960,7
3203629056,10
3203633152,11
3203649536,7
3203665920,9
3203670016,9
3203686400,6
3203706880,9
3203723264,10
3203743744,8
3203747840,7
3203751936,8
3224305664,202
3224285184,192
3224457216,191
3225284608,191
3203768320,12
1915752448,190
656809984,190
680493056,190
848343040,190
3203788800,5
3203805184,10
3203821568,7
3203825664,10
3203846144,6
3203862528,10
156246016,6
3203878912,9
3203899392,12
3203903488,7
3203923968,10
3203940352,9
3203944448,9
3203960832,11
3203981312,6
3203997696,4
3204018176,7
3204022272,12
3204042752,7
3204059136,9
3204075520,9
3204079616,6
3204096000,5
3204116480,14
3204132864,10
3204153344,5
3204157440,8
3204177920,12
3204194304,8
3204198400,5
3204214784,9
3204231168,5
3204251648,8
3204272128,9
3204276224,10
3234308096,190
3224248320,190
3204296704,4
991072256,190
1491513344,391
3204313088,11
3204333568,8
3204354048,7
3204370432,9
3204386816,7
3204407296,9
3204411392,8
3204415488,9
3204431872,11
3204448256,7
3204452352,6
3204468736,7
3204489216,12
3204505600,12
3204526080,9
3204530176,8
176857088,22
666836992,18
666869760,12
193732608,22
193765376,22
193798144,19
193830912,22
1822720000,19
3204534272,12
1822752768,17
1822785536,18
1822818304,17
775229440,379
669511680,379
2061164544,379
556572672,379
840933376,379
615788544,379
775286784,379
658030592,379
152735744,379
615792640,379
3204538368,7
151015424,379
152772608,379
2282168320,379
151023616,379
2317504512,379
2317512704,379
3242541056,380
3245731840,113
3204567040,5
229203968,395
36414812160,312
36414824448,121
3204583424,10
3204603904,9
3204624384,9
3204640768,5
3204657152,7
3204677632,11
3204681728,10
3204685824,8
3204702208,9
3204718592,6
3204722688,9
3204739072,9
3228557312,172
3204763648,11
3204784128,8
279048192,10
3229761536,67
3204825088,6
3229638656,132
3229786112,106
3229822976,42
3229810688,110
3229847552,64
3229872128,24
3229908992,181
3229884416,46
3229892608,132
3229966336,21
3230003200,47
2392731648,172
535953408,204
2034982912,298
1542631424,368
3204829184,6
1539453952,357
129404928,522
3204833280,9
3204853760,11
3241828352,26
3230404608,92
3230834688,34
3232215040,34
3232088064,131
3232661504,21
3233103872,140
3232686080,78
3233230848,99
3235495936,24
3235508224,34
3240353792,34
3235524608,23
3240370176,46
3236200448,101
3237171200,83
3241746432,42
3241762816,34
3241054208,20
3241168896,30
3241652224,36
3241730048,32
3241897984,35
3241795584,46
3241811968,34
3241852928,41
3243048960,52
3243163648,103
3243249664,45
3243421696,21
3243147264,113
3243237376,83
3244642304,108
3244015616,44
3244867584,96
3245535232,148
3245400064,140
3248009216,65
3221245952,109
3249958912,95
3229507584,114
3226841088,21
3226693632,42
3226828800,92
3229605888,85
2310799360,34
629522432,169
780382208,56
555876352,122
2124898304,64
732229632,224
761253888,267
936943616,130
1134358528,89
698286080,131
1231163392,46
1203056640,27
977776640,35
1017307136,52
1023627264,63
1020981248,75
1292804096,229
1134804992,29
1286922240,37
1127940096,89
1370619904,159
1368014848,36
1365561344,46
1362194432,117
1275920384,119
1274736640,125
1369931776,86
1324969984,251
1318092800,143
2130300928,131
2675286016,123
2039136256,76
2708951040,119
1043918848,209
423059456,34
1550659584,104
979914752,46
3204857856,9
878145536,34
789028864,189
661692416,179
878157824,179
2407636992,205
36414795776,139
1550450688,58
1348972544,47
324157440,39
3204882432,11
3204898816,8
300544000,23
194510848,24
1870766080,155
1551351808,141
156254208,6
3204902912,7
3230117888,24
3204923392,6
3204939776,5
3229806592,53
3229913088,19
3230097408,155
3231322112,29
3229929472,32
3230007296,35
3232063488,76
1260232704,68
2767130624,80
1198129152,28
990609408,199
3204943872,10
995725312,86
995725824,43
995726336,43
995885056,43
995422208,43
995886080,43
995423232,42
1625698304,42
1625690112,42
3204960256,6
1453027328,129
1453043712,42
3204964352,9
3204984832,9
3204988928,8
156258304,10
3205005312,8
179949568,230
3205025792,7
3205046272,6
3232096256,191
1369952256,190
3205066752,8
3205083136,8
3205087232,5
3205107712,9
3224682496,189
3223441408,190
3205111808,8
2288578560,201
702214144,206
3205128192,9
3205148672,8
3205165056,8
3205169152,6
3205185536,7
3205206016,5
3205222400,12
3205242880,8
3205246976,8
3205263360,6
3205283840,10
3205300224,7
3205304320,9
3205320704,7
3205341184,8
3205357568,7
3205378048,7
3205382144,9
3205386240,5
3223142400,191
3223195648,190
3224322048,191
3224272896,190
3228266496,215
3224850432,190
3205406720,6
994455552,190
1901547520,201
1348460544,208
3205423104,8
3205443584,9
3205459968,11
3205480448,6
3205496832,8
3205513216,3
3205533696,9
3205537792,6
3205541888,3
3205558272,9
3205574656,5
3205578752,8
3205595136,9
3205615616,7
3205632000,6
3205652480,11
173772800,148
3205656576,8
3205677056,12
3205693440,9
3205713920,10
3205734400,8
3205750784,9
3205767168,8
3205787648,6
3205791744,6
198975488,28
4734976,147
3003502592,30
3205795840,6
3244167168,91
3246452736,137
3228581888,284
3228676096,206
3205816320,7
620470272,1036
529301504,776
3205836800,14
684990464,122
854282240,426
404103168,1480
404119552,404
172171264,142
531918848,303
3205857280,7
3205877760,9
3229995008,196
3205898240,14
1351081984,200
3205914624,7
3205935104,8
3205939200,8
3205943296,6
3205959680,11
3205980160,5
3205996544,11
3206000640,8
3206017024,7
3206037504,6
3206053888,11
3206074368,8
3206078464,7
3206094848,9
223064064,8
2557796352,24
212729856,6
3206098944,7
3206119424,8
735850496,2
3206123520,9
3248529408,10
2342912,83
430862336,92
2301952,621
429748224,51
430927872,16
530046976,304
3206127616,9
584507392,188
233353216,2
3206135808,11
1734459392,51
675770368,86
475193344,15
475062272,428
475037696,21
416538624,64
416595968,334
409522176,930
675958784,21
408813568,294
3206160384,5
1899769856,208
404013056,280
404078592,1054
461398016,1221
577310720,249
3206176768,7
3206180864,8
3206184960,8
3206197248,13
3233234944,54
3241590784,52
3222020096,11
3222003712,17
3246039040,2
3222089728,28
3222122496,24
3222077440,12
3222204416,28
3222466560,12
3222147072,13
3222347776,12
3222458368,24
3222523904,12
3222515712,24
3222482944,24
3222495232,12
3222622208,12
3222560768,24
3222573056,24
3222581248,12
3223146496,18
3222695936,20
3222659072,12
3224346624,31
3223166976,24
3223154688,24
3223191552,12
3228413952,32
3224858624,24
3224399872,25
3228692480,62
3228508160,25
3228704768,124
3228872704,6
408846336,189
548421632,47
522903552,29
523001856,32
36839424,119
576368640,143
1020002304,24
735084544,15
789917696,81
194449408,11
3206217728,6
1748471808,12
2408181760,98
2034987008,376
3206221824,4
2084126720,12
184016896,12
541020160,12
2025369600,12
3206242304,7
3206275072,7
903557120,17
1461649408,63
2028068864,12
3206283264,6
3206291456,9
1988026368,12
2053308416,12
2023813120,13
2024484864,12
2069475328,13
3206311936,10
3233239040,6
3206356992,11
3233251328,25
3233333248,24
3233361920,18
3233349632,6
3234328576,24
3235721216,12
3235434496,19
3235704832,12
3235618816,12
3236978688,24
3235733504,24
3235852288,24
3236937728,24
3236990976,12
3240173568,28
3237097472,24
3244150784,31
3221938176,39
3224207360,24
3246821376,47
3222007808,21
3224313856,39
3224555520,36
3226267648,24
3224293376,24
3228512256,9
3228336128,18
2024493056,16
2035421184,16
3206365184,4
3206373376,9
3206377472,5
289136640,223
300187648,103
992276480,41
992317440,69
854355968,62
1901142016,12
992382976,82
90656768,29
931598336,12
2260992,3018
2737750016,1707
2737987584,741
3206397952,7
576512000,7575
3206406144,4
3206410240,8
176467968,12
1902497792,12
3206426624,10
384700416,12
734629888,27
466837504,26
3236184064,70
3233345536,3
3237015552,20
3236986880,47
1956167680,24
513851392,13
1861566464,13
1861591040,20
3206451200,6
1901838336,12
555667456,13
3238793216,48
3238252544,12
3206492160,6
3239628800,24
3238854656,24
3241680896,22
3241693184,16
3241824256,25
3241709568,35
3241803776,12
3243192320,54
3243159552,37
3241832448,24
3243290624,12
3243225088,56
3243253760,36
3243298816,28
3243315200,12
3243335680,36
3243352064,51
3244179456,22
3243380736,26
3206496256,8
3243638784,24
3244216320,15
3245072384,32
3245473792,24
3245686784,40
3246575616,24
3246505984,24
3222106112,13
3223175168,10
3229110272,25
3241668608,24
3241639936,12
138981376,20
3206500352,8
229814272,14
793899008,59
3206512640,9
3206537216,9
1564499968,12
3206541312,8
396746752,14
3206545408,11
2031218688,12
811536384,15
324198400,19
3206557696,7
2557829120,12
3206582272,8
184397824,12
3244122112,25
3244253184,2
3244240896,8
3244228608,27
427409408,15
3206594560,7
3244302336,14
3244367872,33
3244347392,32
3244326912,31
3244310528,32
523030528,234
343982080,234
3206602752,8
1376174080,20
3206606848,8
3244392448,23
3206631424,9
3244404736,31
3246551040,12
3248132096,24
3248291840,18
2306916352,15
3248480256,25
3221598208,21
3221811200,24
3206639616,9
3221794816,26
3221831680,24
3221823488,24
3221848064,24
485060608,18
3206647808,8
3222032384,12
3221925888,27
2098380800,18
3222134784,13
3206664192,9
2269184,5415
2285301760,41
3229126656,20
3233255424,19
3206692864,7
3206696960,9
3233353728,23
2310598656,12
3234332672,14
3206701056,10
3241631744,12
2333196288,13
3238244352,23
3241156608,16
3206709248,8
2339307520,12
3241291776,5
2691072,17
2339303424,17
3241357312,16
3241402368,31
3241459712,24
3241492480,12
3241508864,13
3241418752,24
3241517056,12
694231040,12
1600966656,12
3241558016,24
3241537536,24
3241578496,18
3241570304,18
3241603072,43
239284224,17
3243307008,30
3243319296,12
3206729728,6
3243388928,19
2215489536,19
3243560960,24
3243769856,24
3243819008,22
3243573248,42
3243712512,30
548814848,19
1821880320,12
1802215424,23
3243827200,12
3243868160,24
3244171264,26
3206766592,13
3244212224,52
1802211328,12
1802207232,13
3244486656,24
3244511232,28
3246530560,13
3206791168,5
3246538752,24
3248058368,24
3206819840,7
3221286912,15
3221295104,24
3206823936,12
3221315584,12
958423040,17
2035429376,12
3221331968,24
3221381120,24
3221393408,24
3221512192,12
3221434368,24
3221467136,24
3221520384,12
3221569536,12
3221585920,28
3221643264,13
3221680128,24
3221688320,24
3206828032,13
1253560320,12
3221725184,24
958427136,13
1470955520,12
980385792,12
3221733376,26
3221762048,24
3221770240,24
3229474816,18
3221929984,17
1911881728,12
3206836224,8
3241037824,6
3241046016,6
2300137472,12
3206852608,9
3241099264,27
3241144320,24
3241111552,14
3241160704,17
186793984,13
3241213952,23
3241259008,25
3241226240,32
3206856704,11
3241279488,29
3241324544,30
1798524928,16
2312953856,16
3241521152,19
3241504768,24
3241541632,13
1502326784,23
1800261632,12
3241582592,10
1502322688,12
1502318592,13
3241607168,11
3243196416,12
3206893568,8
3206918144,14
3206922240,10
3244146688,17
3206946816,7
3206950912,13
186007552,12
209883136,22
3244236800,9
3244249088,24
3244265472,13
3244257280,14
3206955008,8
3206959104,5
209887232,15
869720064,13
209891328,12
385253376,13
3206983680,17
416817152,12
694636544,12
2023596032,14
3248136192,2
629399552,15
2497847296,13
3245707264,24
3206987776,7
3246272512,12
3248082944,24
3248099328,24
3248365568,25
3248140288,3
222085120,17
375611392,18
3248504832,35
3248984064,92
3248934912,48
3248566272,33
3207008256,5
3221749760,12
3207036928,10
3229057024,18
3228643328,20
3229163520,30
3231019008,24
3229466624,17
3229220864,47
3233132544,25
3241107456,28
3241152512,75
3241123840,21
3241025536,29
3241308160,12
3241525248,13
3241676800,57
1274884096,19
3207041024,8
1273294848,12
3207069696,9
1208614912,13
1217404928,12
3207098368,7
3207122944,6
