LBA,Frequency
3154132992,24188
3154137088,24188
496783360,9441
3154124800,6485
3154128896,6484
1552224256,6294
3245588480,5484
173109248,5059
3227303936,4592
288149504,3682
379056128,3681
1981202432,3680
1979400192,3680
108072960,3680
3229609984,3444
3235016704,3436
3236962304,3413
689639424,3345
2181484544,3345
2183667712,3344
954974208,3310
3233193984,3307
954793984,3300
18967752704,3297
18967777280,3291
18967785472,3289
954785792,3287
954777600,3278
2088914944,3275
18967793664,3272
954179584,3270
18967801856,3266
2183520256,3243
2181349376,3179
268722176,3170
268730368,3160
1549316096,3147
1552199680,3147
1552200704,3147
1552204800,3147
1552224768,3147
954122240,3146
1552232448,3125
1546313728,3057
1549317120,3056
1543700480,3007
1546314752,3007
2088857600,2762
2497355776,2724
2183659520,2651
2182021120,2651
12160446464,2463
2183643136,2439
549842944,2356
14088728576,2041
1539235840,1748
1543701504,1748
507416576,1690
497471488,1674
497111040,1674
506892288,1670
697864192,1547
647180288,1547
647163904,1547
1105182720,1338
1010814976,1338
1010823168,1338
893554688,1338
733007872,1338
689647616,1338
743583744,1337
743624704,1337
743616512,1337
835944448,1337
1010552832,1337
1010561024,1337
893788160,1337
893796352,1337
893797376,1288
893798400,1283
893799424,1279
1010564096,1278
893800448,1276
733008896,1274
1010562048,1270
1010565120,1270
1010563072,1269
733009920,1268
1010567168,1267
893801472,1267
1010566144,1264
893802496,1264
733011968,1263
743627776,1263
1010824192,1262
1010568192,1262
733010944,1261
743626752,1260
743628800,1260
1010826240,1258
1010578432,1258
743630848,1257
1010569216,1257
743625728,1256
1010825216,1255
743629824,1255
1010570240,1255
893803520,1255
1010571264,1253
733012992,1252
733014016,1252
733015040,1252
1010572288,1251
893804544,1251
743631872,1250
893807616,1250
1010827264,1249
1010580480,1249
733016064,1246
733017088,1245
1010573312,1245
1010574336,1245
893806592,1245
743642112,1244
1010828288,1243
743632896,1242
743633920,1241
893805568,1241
1105187840,1240
1010829312,1240
1010830336,1240
733018112,1238
733019136,1238
1010582528,1238
743634944,1237
1010575360,1237
1010579456,1236
1105183744,1235
733021184,1235
743635968,1235
1105184768,1233
1105185792,1232
1105189888,1232
1010831360,1232
1010832384,1232
733020160,1232
1010576384,1232
1010581504,1232
1010833408,1230
1010577408,1230
743639040,1229
733022208,1227
733025280,1227
743636992,1227
1105191936,1226
1010586624,1226
1010583552,1225
1105186816,1224
1105188864,1224
1105190912,1224
733024256,1224
733027328,1224
743644160,1224
733023232,1223
1010584576,1223
743638016,1222
1010587648,1222
1010589696,1222
1010588672,1221
1105193984,1220
743640064,1220
1010585600,1220
1105192960,1219
1010840576,1219
1010835456,1218
743641088,1217
1010591744,1216
1105198080,1215
1010834432,1215
1010836480,1215
1105196032,1214
733026304,1214
1010595840,1213
1010842624,1212
733030400,1212
743643136,1212
1010837504,1211
733029376,1211
1105200128,1210
1105202176,1209
733028352,1209
733033472,1209
1105195008,1208
1010838528,1208
1010590720,1208
1010592768,1208
743649280,1208
1010593792,1206
743646208,1206
743650304,1206
1105201152,1205
1010841600,1205
733031424,1205
1010597888,1205
1105197056,1204
1105199104,1204
1105205248,1204
1010839552,1204
733032448,1204
733034496,1204
733035520,1204
1010601984,1204
1105204224,1203
1010603008,1203
743651328,1203
1105208320,1202
1010596864,1202
1105206272,1201
1105207296,1201
893557760,1201
733036544,1201
1010604032,1201
743645184,1201
743647232,1201
1105211392,1200
1010594816,1200
1010598912,1200
1010599936,1200
743648256,1200
1105203200,1199
733037568,1199
1105209344,1198
893558784,1197
1010605056,1197
743653376,1197
1010609152,1196
743656448,1196
733038592,1195
733040640,1195
1010600960,1195
1010607104,1195
1105214464,1194
733041664,1194
1010606080,1194
893556736,1193
893561856,1193
743654400,1193
743657472,1193
893555712,1192
733039616,1192
743652352,1192
743655424,1192
1105210368,1191
1105212416,1191
743661568,1191
1105213440,1190
733043712,1190
1105216512,1189
893559808,1189
893560832,1189
893562880,1189
893565952,1189
743659520,1189
1105215488,1188
733042688,1188
733045760,1188
1010608128,1188
1010613248,1188
743658496,1187
1010611200,1187
1010615296,1187
893651968,1187
1105217536,1186
1105218560,1186
733046784,1186
743662592,1186
1010612224,1186
733044736,1185
1010686976,1184
733048832,1183
1010614272,1183
893563904,1183
893571072,1183
893568000,1182
733047808,1181
733049856,1181
733125632,1181
743673856,1181
743663616,1180
743664640,1180
1010616320,1180
1010617344,1180
743660544,1180
743665664,1180
1105222656,1179
743750656,1179
893564928,1179
1105219584,1178
1105221632,1178
1105225728,1178
1010610176,1178
743681024,1178
1105220608,1177
1105223680,1177
1010621440,1177
893566976,1177
1105228800,1176
893569024,1176
893572096,1176
893570048,1175
893575168,1175
743671808,1175
743670784,1175
743672832,1175
743683072,1175
893576192,1174
743666688,1174
1105233920,1173
1010623488,1173
893574144,1173
743668736,1173
743669760,1173
743676928,1173
743667712,1172
1010624512,1172
1010626560,1172
743675904,1172
743677952,1172
743680000,1172
1105224704,1170
1105226752,1170
1105230848,1170
1105229824,1170
1105231872,1170
1010619392,1170
1010618368,1170
1010620416,1170
893573120,1170
743678976,1170
743684096,1170
733053952,1169
1010622464,1169
893578240,1169
743686144,1169
733052928,1168
733054976,1168
1105227776,1167
1105232896,1167
1105288192,1167
733050880,1167
1010627584,1167
893579264,1167
733059072,1166
1105234944,1165
733058048,1165
743674880,1165
1105236992,1164
733051904,1164
733056000,1164
733057024,1163
743685120,1163
1105235968,1162
1010625536,1162
1105238016,1161
733066240,1161
1010628608,1161
893577216,1161
743682048,1160
893581312,1159
743689216,1159
743687168,1159
743688192,1159
1105239040,1158
733060096,1158
1010629632,1158
733067264,1157
733072384,1157
1010630656,1157
1010631680,1157
1010651136,1157
893580288,1157
1105241088,1156
733065216,1156
733073408,1156
1010635776,1156
893582336,1156
1105240064,1155
1105242112,1155
733063168,1155
733074432,1155
733075456,1155
1010633728,1155
1010637824,1155
733061120,1154
733070336,1154
733064192,1153
733069312,1153
1010634752,1153
893583360,1153
743692288,1153
1010636800,1152
1010638848,1152
1010639872,1152
1010644992,1152
743694336,1152
733071360,1151
733081600,1151
1010632704,1151
1010643968,1151
733062144,1150
733068288,1150
733079552,1149
893589504,1149
743693312,1149
1010640896,1148
1010650112,1148
893586432,1148
743690240,1148
733080576,1147
733082624,1147
1010652160,1147
893584384,1147
743691264,1147
733076480,1146
1010646016,1146
1010655232,1146
893587456,1146
1010642944,1145
1010647040,1145
1010648064,1145
893585408,1145
1105246208,1144
1105249280,1144
733077504,1144
1105243136,1143
1105244160,1143
1010653184,1143
743695360,1143
743696384,1143
1105256448,1142
743697408,1142
1010649088,1142
1010654208,1142
1105245184,1141
733078528,1141
733084672,1141
1010641920,1141
893590528,1141
1105255424,1140
733083648,1140
743700480,1140
1105250304,1139
743704576,1139
1105247232,1138
1105253376,1138
743703552,1138
893599744,1138
893600768,1138
1105248256,1137
1010656256,1137
1010660352,1137
1105263616,1136
1010657280,1136
893593600,1136
893615104,1136
1105252352,1135
1105259520,1135
743699456,1135
743705600,1135
743708672,1135
1105254400,1134
743707648,1134
1010658304,1134
1010661376,1134
893588480,1134
743698432,1134
733091840,1133
1105251328,1132
1105257472,1132
1105264640,1132
733087744,1132
733094912,1132
893592576,1132
893604864,1132
893606912,1132
733089792,1131
1010659328,1131
1010668544,1131
893591552,1131
893597696,1131
893598720,1131
893607936,1131
893614080,1131
893616128,1131
1105258496,1130
1105262592,1130
733085696,1130
733090816,1130
733097984,1130
743702528,1130
1010662400,1130
1010666496,1130
893594624,1130
893609984,1130
893613056,1130
733088768,1129
733092864,1129
743701504,1129
743706624,1129
743709696,1129
1010664448,1129
893595648,1129
893603840,1129
893612032,1129
733086720,1128
1010663424,1128
1010665472,1128
1105260544,1127
733095936,1127
733104128,1127
893602816,1127
893611008,1127
1105261568,1126
733100032,1126
733103104,1126
743711744,1126
743712768,1126
