LBA,Frequency
3154132992,125991
3154137088,125991
8587796480,55713
7478116352,37142
3154124800,35551
3154128896,35550
7818829824,21808
7818776576,21808
7852126208,21808
15645843456,21806
15123931136,21806
14759608320,21806
6216929280,20565
3228045312,20460
3302887424,20444
3299819520,18909
7478116864,18571
7478124544,18571
7478128640,18571
1278550016,18253
7478132736,18191
13200945152,14427
7478136832,10491
8598085632,10292
8588992512,10128
8597577728,10119
8598986752,9340
8696414208,9307
13200936960,6693
1705504768,6621
6216933376,6282
1705463808,6121
3267555328,5935
1412071424,5099
1705496576,4493
3221377024,2818
3221397504,2745
1705455616,2343
1779507200,2211
981164032,2196
3227922432,2195
1513795584,2195
8979107840,2142
7478140928,2038
1705488384,1912
7478145024,1908
2059427840,1885
142749696,1818
8979083264,1806
7475691520,1777
8979173376,1747
17117683712,1738
3276070912,1693
541523968,1677
1705480192,1653
5271453696,1624
5541928960,1579
5541781504,1532
1779580928,1501
511971328,1491
8979189760,1484
1434054656,1465
9785581568,1398
3129438208,1381
3276369920,1353
14167314432,1316
791154688,1287
3276443648,1277
541736960,1273
5541797888,1213
1250234368,1208
11049758720,1197
13200961536,1179
2022240256,1179
1566973952,1147
317181952,1143
7295295488,1114
597078016,1078
980738048,1056
13003689984,1046
953765888,970
3129307136,960
61067264,955
14068264960,953
15646310400,931
541372416,931
13329637376,913
4162117632,870
1444851712,846
142782464,842
3074289664,842
332972032,835
8647143424,826
1997504512,802
758575104,782
4162215936,781
1563127808,745
1705447424,744
17827770368,742
5541847040,726
13200896000,706
1564086272,706
980926464,699
17117642752,697
17827745792,694
1444982784,691
3276410880,685
2424020992,679
1080418304,677
8979197952,660
881512448,611
1705512960,608
3268046848,576
1779687424,574
2022232064,565
1725161472,558
15641939968,556
4162338816,540
11395387392,540
1224003584,529
4162043904,514
6608863232,512
8596414464,501
5541740544,500
15737061376,498
3221237760,487
11108061184,487
11395551232,485
11135700992,480
113651712,479
17827287040,475
1705521152,474
2454675456,474
2454790144,473
403202048,472
15736954880,467
8647380992,463
1434030080,462
15303098368,462
1731092480,443
2455216128,436
547180544,427
2454487040,425
3682525184,418
1997537280,418
16628031488,417
7615680512,416
14067503104,412
11359911936,411
1779752960,410
2455355392,406
5541715968,401
3074297856,398
5541650432,396
1465225216,393
2454626304,392
758968320,390
9785589760,389
11360026624,383
758665216,383
6608855040,375
2675470336,368
1100881920,367
14068207616,349
7615516672,346
3290431488,345
1724981248,345
7470653440,343
5541945344,342
597110784,341
2059386880,339
8598315008,337
13200953344,337
2129981440,334
8647020544,321
13200928768,312
7478149120,311
1445048320,310
7471173632,304
1224011776,304
1563758592,303
1563750400,296
8647053312,295
1779703808,294
7475683328,287
2675478528,284
17098567680,283
3276079104,280
3294330880,280
1734111232,280
307007488,279
473849856,278
1444745216,276
1434021888,276
17827696640,273
113668096,270
17117544448,270
3249565696,267
317140992,267
