LBA,Frequency
3154137088,125880
3154132992,125880
2809491456,41130
3154128896,38744
3154124800,38743
1792081920,27420
1547214848,24978
839229440,24978
2042548224,24978
735096832,24976
2032934912,24976
3234811904,23426
3239907328,23396
3239911424,17668
3239890944,15401
3238121472,15213
1792090112,15093
1794539520,13710
1797136384,13710
1794540544,13710
1792082432,13710
1794544640,13710
9723478016,13689
1797137408,13045
1797141504,12520
2819780608,11826
2819272704,11648
2809507840,11648
277852160,9406
1798189056,6593
1799507968,6574
1794551808,6564
1798190080,6560
1797054464,5933
1797055488,5905
9723486208,5818
892928000,5739
892919808,4843
277843968,4642
9723469824,4600
1553907712,3155
2244202496,2766
3234689024,2591
9715482624,2588
11457990656,2371
9723445248,2231
2020179968,1931
9748905984,1897
3226177536,1877
2239647744,1873
2030460928,1861
1792094208,1844
2099564544,1783
9844887552,1682
1649643520,1668
2521653248,1660
1919356928,1636
2029228032,1631
9748889600,1616
2754277376,1601
3221569536,1589
3226824704,1549
3221868544,1533
3221237760,1465
555491328,1459
3221635072,1448
1856102400,1427
9968623616,1343
99041280,1338
2101460992,1336
2818109440,1328
2101473280,1268
2101456896,1244
2100072448,1237
9723428864,1197
2645295104,1110
3226832896,1070
2036465664,1061
1386860544,1054
2784968704,1052
892936192,1035
277860352,1031
9794609152,1012
1794457600,1002
2034745344,1000
1201569792,978
2020999168,975
916090880,975
2820009984,968
563175424,959
924971008,954
2030940160,950
1794552832,949
1799430144,923
1792028672,922
1792095232,922
1792094720,922
2244366336,921
1792029696,921
2032459776,918
1943777280,917
3234750464,903
404729856,903
2737065984,893
3221274624,889
3222880256,884
3222040576,883
517386240,881
3221377024,876
2120966144,870
2029268992,865
42582016,860
2257797120,859
2737139712,832
2020933632,831
2021122048,830
2820550656,808
1038532608,806
1100566528,805
726908928,796
2030948352,791
3238219776,787
3241783296,787
3241771008,786
1649627136,786
2020302848,785
3238240256,785
474759168,785
685563904,785
2094317568,782
2032095232,781
2032062464,781
2032033792,781
2032963584,780
3226783744,775
2736910336,771
11457949696,744
1799431168,730
9723494400,702
2600144896,701
9968648192,698
2035142656,695
2262228992,691
2600079360,690
2034311168,685
7438893056,684
563142656,680
2257821696,666
2600194048,641
11457974272,638
542564352,636
2035941376,635
892895232,635
2033397760,627
1794458624,625
2755518464,623
9535393792,620
1799508992,616
542547968,609
62881792,607
2031095808,595
2021171200,594
1791827968,589
2035916800,586
2754252800,584
2035802112,583
1374556160,582
1791819776,581
2340458496,578
2433871872,562
404344832,559
404803584,559
403771392,557
1791205376,555
2034434048,539
1277681664,529
2030964736,525
2736877568,524
2645442560,522
3226558464,519
2031284224,517
2035761152,514
1976807424,506
