LBA,Frequency
3154132992,140946
3154137088,140945
1578512384,42405
3154124800,38385
3154128896,38384
1283772416,28270
1285754880,25404
1723936768,21776
1276715008,21776
1249931264,21776
1283768320,21776
1790533632,21774
1424424960,21774
1397141504,21774
1455714304,21774
3228045312,20245
7007424512,17217
582746112,16936
1283780608,16412
7452192768,15753
3233140736,14988
3231358976,14772
1276522496,14135
1282764800,14135
1282770944,14135
1283772928,14135
1282766848,14135
3225251840,13517
3233148928,12772
1276524544,10912
1590751232,10248
1578561536,10080
581976064,8468
582725632,8468
582747136,8468
582746624,8468
581697536,8445
1285771264,8410
580706304,8369
581977088,8368
581698560,8347
6121123840,7995
671289344,7558
3231371264,7396
3246145536,7084
7452200960,6133
3233144832,5667
1110441984,5453
89497600,5067
1588588544,4078
3226341376,2973
235708416,2941
3226726400,2933
3226759168,2864
8327970816,2708
3221524480,2643
3227922432,2559
3221307392,2521
1455194112,2423
920870912,2314
79790080,2112
1468379136,2077
755372032,2048
7452184576,1914
449658880,1883
3221237760,1792
7007432704,1739
301580288,1680
1276694528,1669
1276528640,1663
449019904,1651
3227185152,1634
1276719104,1615
671268864,1601
9099784192,1596
9099911168,1570
2737651712,1501
1032671232,1485
1283784704,1408
5544148992,1375
3246137344,1369
1939980288,1364
3246325760,1351
9099591680,1348
3252174848,1338
2452918272,1334
1489379328,1334
246235136,1328
9099657216,1308
9032601600,1302
2773561344,1291
3222855680,1275
3223347200,1271
760897536,1241
2741665792,1237
2801590272,1209
9099800576,1202
9099616256,1201
449126400,1194
2912612352,1134
1489985536,1130
9099821056,1120
9099599872,1088
8907112448,1082
9099833344,1076
9099751424,1066
6263480320,1065
1746911232,1062
1479905280,1057
9099628544,1047
1264676864,1025
9099575296,969
1840926720,967
7452209152,964
1452142592,951
485421056,951
3235020800,924
1490214912,910
9099735040,907
755412992,900
1450590208,895
1262108672,891
1276696576,876
241389568,874
3243909120,840
9099825152,840
6403928064,835
6611513344,830
9099759616,824
9099624448,822
2287251456,820
1490485248,818
1429012480,816
2286678016,807
3221893120,805
1461698560,804
9099620352,784
2554294272,777
755347456,775
2059419648,774
7007416320,761
1520701440,757
9099632640,755
7573012480,752
1735266304,748
9099792384,738
1264678912,733
3246149632,732
9099644928,725
1588293632,722
1829052416,722
9099915264,714
442580992,713
9099755520,706
1293242368,704
1286742016,704
1286743040,704
1283785728,704
1283785216,704
1293243392,703
9099743232,700
610406400,699
9099739136,698
9099636736,689
755339264,689
3231457280,687
3246366720,686
2544541696,686
9099603968,684
3235008512,682
243408896,682
237064192,682
3231473664,680
2545901568,677
79953920,676
2286784512,675
77156352,674
1687674880,673
1687728128,673
1687707648,673
1687691264,673
9099816960,672
2287210496,671
9099608064,661
9099837440,661
9099583488,650
665718784,649
9099771904,647
665759744,642
1996894208,632
9099571200,631
1468993536,629
2737659904,625
1469263872,625
9099767808,604
9099595776,602
7572979712,602
241430528,589
598147072,580
9099587584,577
2047995904,576
9099776000,571
1463361536,553
1163055104,551
449044480,542
1675558912,530
1175638016,525
9099567104,519
1260765184,517
449503232,508
704892928,500
8907120640,497
1258729472,488
1262110720,483
9099804672,471
301727744,466
2047987712,459
442032128,456
671186944,455
1985875968,453
1260767232,442
1441554432,440
9099640832,435
2287742976,432
442302464,432
642949120,430
301826048,426
7113244672,420
9099763712,419
2912595968,417
2287423488,414
9099653120,413
673189888,407
9099829248,405
2047938560,405
128241664,400
870506496,398
2544500736,397
9099612160,392
9099780096,382
598212608,381
1765965824,376
1469288448,373
671277056,372
2574426112,368
2288726016,368
3243819008,360
872857600,358
1490313216,353
755298304,350
9099730944,349
1491230720,346
1693745152,344
3264925696,343
7368978432,342
9032617984,340
1489731584,339
2289111040,335
1675567104,334
1175851008,331
2286571520,331
1675632640,330
2289160192,330
2047979520,330
2287562752,328
1071095808,324
9032593408,322
1080119296,321
956358656,319
9099747328,312
343527424,311
376328192,311
2288349184,309
1463218176,304
7452176384,303
1675509760,299
1469190144,298
9099649024,296
1447903232,291
3258531840,285
2048200704,285
9099808768,282
1060704256,280
2179964928,276
3230420992,275
2287112192,275
1454895104,274
2287734784,273
3246542848,267
864387072,264
3283107840,263
3275333632,262
1080070144,261
3275624448,260
1192255488,258
673378304,256
6611529728,256
7692984320,253
1066188800,251
6611685376,251
449298432,250
2956161024,249
7250870272,249
311300096,248
3245965312,247
3280228352,245
7892930560,244
3264933888,243
9032642560,243
1283448832,242
17059840,241
2287800320,241
755433472,240
244039680,239
704917504,238
449593344,238
3246342144,237
2796662784,235
1405616128,234
3227967488,234
1256148992,233
3246399488,233
671264768,232
128860160,232
3275325440,232
7261368320,231
3281580032,231
1256083456,229
1590095872,229
7668273152,229
442351616,229
1251454976,228
1243840512,227
1244405760,227
1245855744,227
1233301504,227
1589702656,227
1241141248,227
1044447232,227
1285242880,223
1022435328,223
3281436672,223
2353725440,222
843816960,222
9099841536,222
3073273856,221
2288914432,221
1522712576,220
7692967936,220
1175908352,220
1234980864,219
9099796480,218
3282931712,218
3246264320,217
1233035264,217
3282567168,215
1490698240,215
1588260864,214
3275866112,214
6975414272,213
3281383424,212
2221834240,212
1589587968,211
2289053696,211
1489608704,211
7007440896,210
7497826304,210
1232945152,209
7397629952,208
7408451584,208
11368144896,208
2112229376,208
3283013632,208
3232956416,207
1588506624,207
1232879616,206
3235909632,205
1256151040,204
3281612800,204
3282939904,204
9099554816,203
3231334400,202
1232244736,202
6973931520,201
3240718336,201
1145716736,199
1588998144,199
6659538944,199
1231446016,198
1230802944,198
1233037312,198
2226978816,197
1584885760,197
1229697024,197
1229189120,197
1225400320,197
1229705216,197
1229680640,197
1225416704,197
1225863168,197
1227022336,197
1226027008,197
1227128832,197
3282841600,197
1254977536,196
3281543168,196
1224941568,195
1590145024,195
1588883456,195
1588965376,195
1588948992,195
1588490240,195
1588932608,195
7263354880,194
3226365952,194
1441472512,193
2288758784,193
1183305728,192
3228020736,192
2286546944,192
3246714880,191
2288316416,191
7488122880,190
820379648,190
31453184,190
3275190272,189
9099579392,189
3221245952,188
1227024384,188
7248977920,188
603156480,187
3227107328,187
7120191488,186
3246379008,186
1229191168,185
6074834944,185
7466205184,185
1663852544,184
1085571072,184
7566409728,184
2807316480,183
3275603968,183
3272769536,183
7484641280,183
3242311680,182
3276136448,182
1085321216,182
835469312,182
6166786048,181
7134629888,181
3259695104,181
3246350336,181
3246403584,181
3264806912,181
3240767488,181
3282980864,181
7693692928,180
795041792,180
5544165376,180
7139622912,180
7690027008,180
422019072,179
3278696448,179
8934977536,179
8805179392,178
1675427840,178
1489453056,178
8942653440,178
591462400,177
3140644864,177
1675575296,177
7677480960,177
311107584,176
3244732416,176
2286759936,176
8483880960,176
7182909440,176
3264880640,175
3246743552,175
3278139392,175
5775630336,175
1446793216,175
1224843264,175
1675452416,175
2289102848,175
3242479616,174
3222020096,174
2419535872,174
3243454464,174
3272970240,174
151584768,174
1256085504,174
1213902848,174
1675329536,174
3240378368,173
6200713216,173
627343360,173
3228291072,173
3240968192,173
3240820736,173
3241914368,173
2810269696,173
7134892032,173
3227938816,173
7540449280,173
5496127488,172
3279646720,172
1225402368,172
3243147264,172
1167413248,172
7497719808,172
6611972096,172
3279921152,171
1591209984,171
5720100864,171
3246391296,170
3242536960,170
1243842560,170
5606436864,170
3264876544,169
3247386624,169
3235012608,169
3276738560,169
3280838656,169
1070841856,169
7451815936,169
1396830208,169
3275984896,169
3260129280,168
3276677120,168
3250552832,168
758988800,168
3235860480,168
1744334848,168
1685766144,168
3240841216,168
3272802304,168
3273891840,168
3240849408,168
3280683008,168
3280756736,168
129150976,168
1590276096,168
1591595008,168
3275448320,168
3279638528,168
2416332800,168
3243200512,168
1143238656,168
3228270592,167
3280371712,167
3275640832,167
3275685888,167
3230334976,167
3229859840,167
565170176,167
528650240,167
3276046336,167
3281326080,167
3242270720,167
8049070080,167
2690359296,167
80068608,167
3232743424,167
3230879744,167
3228233728,167
3229167616,167
3278209024,167
3278782464,167
3279220736,167
2115538944,167
3230433280,167
3272785920,167
3272794112,167
3272761344,167
3232415744,167
3242201088,167
3242102784,167
808558592,167
3234947072,167
7782920192,166
3281043456,166
3279761408,166
7692902400,166
3273474048,164
1225418752,164
7497908224,164
7224283136,164
1225865216,163
3282927616,163
2032513024,162
7113220096,162
2288005120,162
3228712960,161
3233374208,161
3277250560,161
1226029056,160
3283017728,160
1116299264,159
1227130880,159
2790105088,159
2189058048,157
3276382208,157
3281330176,157
1468395520,157
3228479488,156
1230804992,156
1231448064,156
1728143360,156
3279839232,155
7264931840,155
442802176,155
172478464,155
1116078080,154
3276566528,154
3222372352,154
1283477504,153
1272160256,153
1233303552,153
1476145152,153
2912636928,152
1229682688,152
2171830272,152
3233935360,151
3228770304,151
1681711104,151
2253008896,151
2201407488,151
3228758016,150
6134358016,150
3221274624,149
938115072,149
7676219392,149
3283075072,149
1475256320,148
3269914624,148
3273674752,148
6745726976,148
3233050624,147
6516703232,147
1454575616,146
6661574656,146
760922112,146
7498244096,146
3275997184,146
1952825344,145
1450565632,145
3276541952,145
311365632,144
3221680128,144
1137917952,144
1675321344,144
8902287360,143
834686976,143
1490763776,143
7261360128,143
7046868992,143
2221568000,143
760913920,141
3281494016,141
760930304,140
7490043904,140
3221864448,139
3277189120,139
808124416,139
3276607488,139
2183991296,139
3281465344,139
7657238528,139
809361408,139
875962368,138
3273732096,138
3281571840,138
3283099648,138
6661652480,137
3231764480,137
7452241920,137
1229707264,137
3275988992,137
3276296192,137
884064256,136
6611570688,136
2375139328,136
5695434752,136
957296640,135
3283021824,135
2245115904,134
217354240,134
1463226368,134
6611824640,134
5751177216,134
2425761792,134
3281600512,134
6587375616,133
11362516992,133
3277234176,133
1113739264,133
1163341824,133
3275886592,133
3276587008,133
91889664,133
7552663552,133
3281547264,133
3223449600,132
7452217344,132
1161277440,132
813981696,132
3273543680,132
7497916416,132
6784573440,132
109088768,131
3246374912,131
3273707520,131
1166794752,131
2076086272,131
7112757248,130
9026957312,130
233648128,130
3221815296,130
3273666560,130
6860468224,130
2646007808,129
2446667776,129
664170496,129
3279724544,129
3275857920,129
7217844224,129
1447854080,128
8390942720,127
2297749504,127
3282726912,127
1189097472,127
1728712704,127
3281534976,127
3221848064,126
3230363648,126
3235930112,126
1085386752,126
7887265792,126
9025155072,126
3246174208,126
1069600768,125
1068617728,125
3259961344,125
3228352512,125
3230838784,125
3230597120,125
3228315648,125
7692894208,125
3281743872,125
2582134784,125
7368962048,125
3221794816,124
3264258048,124
3228307456,124
603033600,124
3273162752,124
7261196288,124
3276177408,124
3281301504,124
3271876608,124
977375232,124
3283034112,124
3283030016,124
11362816000,123
695382016,123
3246190592,123
3228282880,123
3279949824,123
3228971008,123
3234992128,123
3221803008,123
3221770240,123
3274698752,123
3221827584,123
3282915328,123
3282997248,123
1817628672,122
2227044352,122
820445184,122
3275141120,122
8780472320,122
3228348416,122
3275218944,122
3227926528,122
8483786752,122
642502656,122
762507264,122
3281510400,122
2191921152,122
3282886656,122
6905405440,121
11549798400,121
8354385920,121
8511565824,121
1490558976,121
1568428032,121
572538880,121
563716096,121
7966814208,121
3283136512,121
959221760,120
218619904,120
218624000,120
8971087872,120
3276394496,120
2286358528,120
3283140608,120
6194565120,119
3231440896,119
11368210432,119
1970704384,119
3278753792,119
6135111680,119
8331173888,119
1085640704,119
6219083776,119
6516768768,118
3281403904,118
3221692416,118
1113792512,118
1675542528,118
843141120,117
755363840,117
250830848,117
11499147264,116
3241672704,116
2360217600,116
1251504128,116
3280482304,116
2054545408,116
2273558528,116
3235393536,115
3230474240,115
2396176384,115
3272155136,115
1166303232,115
3223646208,115
2085171200,115
3281211392,115
7171964928,115
1369042944,115
11360542720,114
11363422208,114
7452151808,114
3273748480,114
3279757312,114
1272266752,114
3282882560,114
3282923520,114
11482710016,113
3228545024,113
1512865792,113
155648000,113
309665792,113
3275870208,113
8483782656,113
245858304,113
3283132416,113
1386901504,112
11381891072,112
1014427648,112
3276595200,112
3231223808,112
1411833856,112
1929818112,112
11353063424,112
3281481728,112
1807683584,112
8011935744,112
3246624768,112
11318992896,111
1929814016,111
3247046656,111
1021898752,111
1681514496,110
7452250112,110
442531840,110
8868495360,110
3282616320,110
3273764864,110
8865099776,110
2288136192,110
8419942400,109
1124573184,109
897679360,109
2864226304,109
7451955200,109
1728212992,109
7261327360,109
3281440768,109
6912720896,109
2226958336,109
1990303744,108
3273535488,108
3276017664,108
7183511552,108
7261335552,108
11352997888,108
1044582400,108
1905840128,108
229007360,108
3283152896,108
6200778752,107
3224207360,107
7572971520,107
3235872768,107
6441328640,107
8681418752,107
2076139520,107
3231424512,106
3231350784,106
6971494400,106
3224715264,106
6941057024,106
6073794560,106
867401728,105
3235397632,105
3227955200,105
3241820160,105
5575041024,105
2060292096,105
900800512,104
1773142016,104
2107973632,104
11442155520,103
6262276096,103
3235311616,103
6545047552,103
7540514816,103
3246657536,103
8862998528,103
1469116416,102
863293440,102
3234951168,102
3227983872,102
3272265728,102
7957577728,102
3264929792,101
1395126272,101
3222548480,101
8982130688,101
7007490048,101
2747592704,101
7814668288,101
7714361344,101
503435264,101
2287013888,101
7268868096,100
7660486656,99
3245936640,99
1705177088,99
1498615808,99
3275952128,99
1021919232,99
7466270720,99
3281559552,99
9099907072,99
3283046400,99
3283066880,99
1258731520,98
1468829696,98
3273699328,98
3275780096,98
837365760,98
3222441984,98
833982464,98
7887331328,98
