LBA,Frequency
3203039232,130688
3203043328,130687
3203031040,41979
3203035136,41977
2461310976,41337
375050240,27559
6215958528,25311
6215954432,25308
5659770880,25298
5655568384,25298
4894654464,25288
4906139648,25285
3270615040,23786
323461120,23675
3272773632,23568
3272400896,16064
3268845568,15860
381149184,15316
10350956544,15087
404930560,13780
375050752,13780
413134848,13780
404934144,13780
404938240,13776
413138432,12701
2478678016,11842
2461704192,11664
10510606336,10582
3270619136,9901
1281056768,7812
1819021312,6683
907636736,6059
10389102592,5733
10389094400,5061
972165120,4929
3259359232,3383
1819029504,3323
3259531264,3138
3304869888,3078
10424115200,2781
292900864,2523
13928976384,2505
13928972288,2504
972173312,2356
627847168,2301
4712341504,2231
10641670144,2223
10389086208,2180
10641686528,2169
4753063936,2023
373735424,1949
3297861632,1900
683094016,1816
2423287808,1812
13996163072,1810
4704157696,1762
530653184,1752
3304861696,1749
1207816192,1699
626020352,1694
13928968192,1690
13928964096,1689
381153280,1682
379334656,1630
683241472,1621
8094478336,1620
1761394688,1608
1281064960,1522
829427712,1513
11766812672,1506
3161395200,1496
413773824,1495
1802313728,1479
635039744,1458
413142528,1449
3265503232,1442
649428992,1425
5828227072,1400
379400192,1394
8162684928,1393
597159936,1388
655228928,1365
2475630592,1361
4750565376,1335
4661805056,1319
414445568,1313
1104121856,1297
5243920384,1297
4698251264,1283
413777408,1268
373850112,1234
653750272,1229
603762688,1224
3258822656,1212
247947264,1211
1055457280,1200
416755712,1198
414449152,1178
672088064,1134
10641661952,1127
4870090752,1094
3265507328,1074
622702592,1068
743497728,1068
4770435072,1051
379293696,1046
2475270144,1042
5057699840,1030
1077342208,1007
373637120,1004
3272380416,949
8162676736,949
5057634304,948
1055424512,939
3265568768,915
3259465728,914
3265052672,905
373833728,902
563208192,900
10424123392,897
2475286528,893
3258970112,889
3258867712,888
598245376,881
10641637376,879
10364522496,878
597659648,869
379506688,856
626417664,855
381153792,841
381526016,841
381154304,841
381527040,841
446300160,841
2479333376,840
293146624,833
828186624,832
1055899648,824
585707520,817
646094848,809
3269029888,807
418095104,792
3268960256,786
293113856,786
4698255360,782
3272392704,778
411963392,778
446305280,777
302768128,777
839925760,776
839979008,776
839958528,776
839942144,776
446301184,775
660217856,763
1811275776,758
293257216,755
5360304128,753
654290944,735
373858304,726
1058349056,694
5224513536,687
5246328832,663
3304828928,659
4704817152,654
293199872,653
557649920,635
379449344,630
418107392,624
416759296,624
4705153024,624
5243805696,619
655740928,617
418098688,612
5224366080,610
2961682432,601
10247208960,600
5406265344,598
4989640704,591
3269025792,590
10641588224,579
4991664128,577
622792704,569
5250142208,569
1844736000,564
5250240512,563
654102528,556
1056055296,555
1129267200,541
5360410624,540
10641678336,527
597954560,525
3268857856,523
1129070592,522
10641629184,519
1761460224,517
622833664,516
2681286656,515
399872000,513
5055754240,511
4982427648,509
766427136,506
828407808,506
520912896,497
8760934400,494
1281073152,492
5243871232,490
1057136640,488
935968768,484
558014464,484
3302727680,483
10641645568,476
3298705408,472
901812224,471
1256828928,469
792371200,467
10349678592,465
4695851008,459
6271475712,454
276385792,453
2582732800,449
5224488960,441
870129664,440
2476007424,438
273534976,438
8162693120,431
802197504,430
3173068800,418
