LBA,Frequency
3154132992,119570
3154137088,119570
13655592960,39411
3154124800,34265
3154128896,34265
13152391168,26274
3238117376,22368
478437376,22049
478765056,22047
619532288,21862
3234811904,19793
3239989248,15386
3239907328,14469
13152391680,13137
13152400384,13137
13152396288,13137
2319540224,11998
13152404480,10987
13152408576,10845
3239903232,10781
13665882112,10208
13661147136,10205
13665374208,10107
2366337024,9219
3221819392,8123
10750283776,8121
2319515648,7448
615129088,6192
2366328832,6045
13134471168,5414
3221295104,3398
3221372928,3332
3222671360,3113
219398144,3110
2366345216,3037
13664210944,2812
13134471680,2707
13134477312,2707
13134473216,2707
13134481408,2681
10752528384,2653
10750955520,2651
10752561152,2651
13134485504,2649
13134489600,2640
13134505984,2635
13134510080,2634
10752921600,2634
10752512000,2634
13134522368,2633
13134518272,2633
10752937984,2632
13134526464,2631
13134534656,2631
13134530560,2631
10750906368,2631
13134538752,2630
10752380928,2629
10751315968,2629
10752397312,2629
3227324416,2564
89272320,2359
102109184,2341
2366320640,2312
2365231104,2198
2364919808,2198
2304278528,1895
89255936,1720
102113280,1689
2319532032,1652
3223355392,1639
89309184,1608
89276416,1562
2363592704,1459
3223998464,1312
2362527744,1275
3221237760,1269
3223220224,1231
2364772352,1179
2310209536,1125
13152412672,1120
2311061504,1077
2363330560,991
2365313024,985
2319097856,983
2364575744,969
2364870656,928
2362109952,925
2319425536,917
2305687552,897
2364821504,872
2362150912,870
9099595776,849
2363944960,822
2311208960,795
2366124032,788
2315534336,769
2310963200,764
2319466496,740
2313306112,727
2365607936,726
2366238720,712
2314616832,700
2311757824,699
2312945664,686
2366271488,679
2315968512,674
3226046464,664
2312372224,654
2312249344,652
2308653056,649
2365222912,640
2316763136,637
3226042368,635
2365796352,634
3234689024,633
2366058496,619
2362142720,617
2319556608,612
2364649472,611
9099603968,603
2310651904,600
574828544,599
13152416768,596
2310897664,593
3232989184,592
2363027456,571
9099591680,567
2317565952,557
989978624,554
2361954304,545
2310045696,544
2365493248,538
2309545984,537
2312552448,529
989954048,528
2312822784,528
851427328,512
2366091264,486
989974528,480
2365059072,476
2311888896,475
2315173888,473
2364755968,471
2311282688,469
2363658240,466
13667602432,459
2366312448,455
13152420864,454
3223994368,454
2366353408,454
2365304832,453
13668077568,450
2365534208,445
574820352,445
2315493376,445
13669027840,440
2317197312,437
3221753856,435
2312044544,432
2312970240,431
2365542400,424
3221245952,424
2311143424,420
2313658368,418
2306924544,416
2317991936,411
2313371648,410
2308489216,409
989958144,403
2312175616,402
2312577024,394
2315886592,394
2304270336,391
2318499840,385
2307948544,383
2310332416,371
2310692864,369
1651449856,357
222449664,357
13666308096,350
2316009472,350
13665914880,348
989966336,345
2311815168,344
2310414336,341
2314174464,341
3232944128,338
2317049856,336
2317451264,335
2362224640,331
2318368768,324
2314657792,322
2366304256,320
2314395648,318
2363379712,313
2365747200,311
2313469952,310
2319548416,309
16738443264,308
2311045120,307
2318344192,304
2314952704,301
2364526592,299
2313027584,296
9099567104,293
2364739584,293
3131813888,292
2314649600,292
2366025728,290
2365788160,290
11709857792,288
2313527296,287
13152424960,273
2317778944,267
2304770048,265
264536064,264
508350464,264
13661179904,263
3259248640,263
2365812736,263
2317516800,263
12374933504,261
1119801344,261
2318524416,261
13670092800,254
10190598144,253
2309455872,248
13664817152,247
2318065664,247
3229179904,246
89268224,245
3229184000,243
418643968,238
2317410304,235
3131875328,235
2314854400,234
2305073152,234
540692480,229
2365779968,228
2311593984,227
3237199872,226
13664030720,224
3223228416,224
3223281664,223
9099632640,223
13152429056,222
1240702976,222
989962240,219
522469376,219
3228405760,219
2318229504,218
2316836864,218
2316386304,214
3226824704,212
2314674176,211
11881398272,210
3131539456,209
3266715648,208
3235057664,206
35360768,206
2312667136,206
3266695168,203
3228135424,202
2311503872,201
2318630912,200
2314346496,199
3233046528,199
3225337856,197
2364608512,197
3228282880,196
3228872704,194
13666160640,193
482263040,192
2318336000,192
3131883520,191
3258007552,191
3228827648,190
3259490304,190
3131531264,190
919715840,188
1651445760,187
9099599872,187
250892288,185
214835200,184
3261022208,184
2319310848,184
3265118208,183
67911680,183
2313117696,183
3237208064,182
89251840,182
3260944384,181
3267284992,179
3259559936,179
252481536,178
3235246080,178
2312355840,178
3224616960,177
3229196288,177
1651474432,176
89288704,176
3228835840,176
3228037120,175
3228110848,175
3131744256,175
3266637824,174
1108004864,174
3224104960,173
9099874304,173
3262062592,172
3229343744,172
3229425664,172
3226828800,172
540696576,172
2319523840,172
2315010048,172
3260977152,171
920211456,171
3223117824,170
3224252416,170
3225296896,170
3239178240,170
3260960768,170
3237285888,170
3247054848,170
377647104,170
3224375296,169
284119040,169
520417280,169
3260936192,169
3225583616,169
3229306880,169
13667618816,169
13668913152,169
3228409856,168
851406848,168
3247751168,168
3226632192,168
3249610752,168
586428416,168
3265024000,168
3263758336,168
3267346432,168
3242041344,168
3235069952,168
3247783936,167
3131764736,167
3227983872,167
238628864,167
9099616256,167
540725248,166
3234750464,166
3232542720,166
3229335552,166
2311536640,166
3259305984,165
3264684032,165
540688384,164
9099972608,164
2313183232,164
13666045952,162
2313723904,162
13665800192,161
89292800,161
3131703296,161
3264987136,161
2365640704,161
2316804096,160
3233030144,159
13665996800,158
2361995264,158
2364624896,158
222060544,158
3222945792,155
2313830400,155
3240353792,154
13152519168,154
2366361600,154
510300160,153
13152437248,152
2318434304,152
9099657216,151
2316722176,150
2312814592,150
2313969664,149
1025355776,149
13666078720,148
13666095104,148
13665980416,148
13665947648,148
13666029568,148
13666357248,148
13666013184,148
540684288,148
2319278080,148
3267072000,147
13666373632,147
13668175872,147
3229290496,147
2313764864,147
13152474112,146
32174080,146
222384128,146
3264421888,145
3234734080,145
3228090368,145
2309357568,145
2315558912,145
3258003456,144
3233497088,143
922624000,143
2314027008,143
2318057472,142
9099571200,141
12567482368,141
2313347072,141
2365165568,141
3131736064,140
949329920,140
633675776,140
13152515072,139
13152551936,139
3238096896,139
3131535360,139
13152547840,138
3131559936,137
3131510784,136
3131588608,136
3241037824,136
2315485184,136
2366156800,136
3267002368,136
13672730624,135
3233648640,135
3239276544,134
545865728,134
454082560,134
2314305536,134
583962624,134
264519680,133
1000677376,133
526487552,132
526491648,132
3232927744,132
2316967936,132
3237986304,131
3237253120,131
3259465728,131
3266633728,131
3235115008,130
2316689408,130
992825344,129
2313166848,129
2312126464,129
67252224,129
13152433152,128
3226034176,128
377303040,128
3239251968,127
3221655552,127
9100083200,127
987983872,127
3247063040,127
1245949952,127
13152543744,126
3235311616,126
3239235584,126
257024000,126
633647104,126
3226836992,126
89284608,125
190746624,125
3239227392,124
3269271552,124
12452061184,124
2319048704,124
2313551872,124
919707648,124
328663040,123
94343168,123
13152523264,122
3238113280,122
9099579392,122
3131809792,121
3131564032,121
1100611584,121
264527872,121
3229294592,121
2317787136,121
2364862464,121
13152539648,120
13664931840,120
1100591104,120
584495104,120
13152510976,120
2361888768,119
191602688,119
3131822080,118
3266670592,118
2319319040,118
2308284416,117
2363936768,116
3233808384,116
3131699200,116
191594496,116
2315780096,116
2316091392,116
13152494592,115
2315386880,115
3131715584,114
3239211008,114
418635776,114
13669093376,113
3242176512,113
3131625472,113
826560512,113
2318163968,113
3269107712,113
3236974592,112
3265933312,111
3221282816,111
262324224,111
2319581184,111
3237662720,110
294473728,110
915222528,110
3228930048,109
63176704,109
3260305408,108
2314493952,108
3259564032,108
3265306624,108
2316656640,108
3131760640,107
1231048704,107
2311151616,107
2312708096,107
3242242048,106
1035223040,106
3237675008,105
3247448064,105
3265236992,105
2312888320,105
2315116544,105
1244815360,105
2312265728,105
13666406400,104
2314092544,104
3229282304,104
198070272,104
13664866304,103
1024000,103
3131514880,103
2315272192,103
454090752,103
918990848,103
2316460032,103
3242340352,102
3223273472,102
13152470016,102
96149504,102
3233693696,101
13152556032,101
3236761600,101
3229315072,101
1250799616,101
13152506880,100
2311413760,100
13152465920,99
13152482304,99
3244511232,99
3222654976,99
3235745792,99
2315624448,99
2315042816,99
108064768,99
626688,99
3222228992,98
3221979136,98
3221897216,98
3222597632,98
3223134208,98
3233718272,98
3233673216,98
3235049472,98
3221266432,98
13152441344,98
923779072,98
13152453632,97
2319147008,97
2314534912,97
13669126144,96
13152498688,96
13664849920,96
1028096,96
3264262144,95
2311135232,95
3247013888,95
109342720,95
1015808,94
2366279680,94
507858944,93
3242070016,93
3131592704,93
2314633216,93
1014263808,93
3246284800,93
2364968960,93
676651008,93
2313043968,93
2319564800,92
922996736,92
697577472,92
2361683968,92
13152478208,91
3233484800,90
9099911168,90
3247099904,90
3259494400,89
2364493824,89
2317549568,89
3233468416,89
3228921856,89
3241050112,89
2366394368,89
2308341760,89
13152445440,88
3237318656,88
1245945856,88
42422272,88
1108005376,87
1108005888,87
2317279232,87
3242237952,86
2366377984,86
3259162624,86
963854336,86
2314010624,86
13152461824,85
2366369792,85
3234807808,85
3233857536,85
3235532800,84
3235545088,84
3241332736,84
32178176,84
3227885568,84
3235053568,84
2310225920,84
2319605760,84
264523776,83
9099608064,83
1244811264,83
948215808,82
3235934208,82
3247771648,82
984539136,82
1035132928,81
3242352640,81
3247157248,81
3235794944,81
2311364608,81
2363445248,81
1651462144,80
3224510464,80
2366296064,80
2363052032,80
2319237120,80
340635648,80
2317705216,80
13152490496,79
13666340864,79
3234537472,79
3131576320,79
3131711488,79
924680192,79
3238178816,79
251559936,79
2316853248,78
2318786560,78
2308694016,78
2318581760,78
9099976704,77
13666275328,77
3237113856,77
2316746752,77
2311626752,77
3247075328,77
2319392768,77
2317426688,77
2308923392,77
3227131904,76
3131936768,76
3131609088,76
3238129664,76
3242074112,76
3131944960,76
9099612160,76
1245937664,76
915247104,76
3228577792,76
560488448,76
3242590208,75
3238133760,75
3248185344,75
1245941760,75
377344000,74
3227353088,74
13152502784,74
9099575296,74
13152457728,74
3258777600,74
13152486400,74
954949632,74
13152449536,73
61689856,73
3131781120,73
3228471296,73
3257737216,73
926707712,73
996032512,73
3265716224,72
3244826624,72
3257352192,72
3226120192,72
3242606592,72
2366386176,72
925528064,71
3223044096,71
13296476160,71
13296480256,71
2316034048,71
2312364032,71
13670027264,70
949330432,70
949330944,70
949335040,70
3227910144,70
3228987392,70
3247288320,70
3229376512,70
2315378688,70
3228160000,70
1224769536,70
964005888,70
3265654784,69
13671452672,69
882872320,69
3131674624,69
9099968512,69
2362175488,69
947601408,69
2046341120,69
12950052864,69
354566144,68
11881578496,68
923738112,68
3131777024,68
3224604672,68
2319589376,68
2311397376,68
2318827520,68
3228680192,68
3228868608,68
13152527360,67
3235524608,67
3237335040,67
3222913024,67
3233800192,67
3221798912,67
221425664,67
2311356416,67
2311831552,67
959193088,67
960258048,67
3228147712,67
13672550400,66
978567168,66
3249811456,66
2314371072,66
2315804672,66
13152560128,65
3244859392,65
697786368,65
922615808,65
3260973056,65
3228811264,65
1207083008,65
593682432,65
930906112,65
13661163520,64
3266842624,64
3265855488,64
3247820800,64
516403200,64
3228893184,64
2317647872,64
995344384,64
3265036288,64
3229249536,64
13152535552,63
2308595712,63
3266375680,63
2319491072,63
9099640832,63
927485952,63
3232505856,63
2313216000,63
1244807168,63
1016377344,63
1247367168,63
3257790464,62
3131523072,62
3131580416,62
3131752448,62
3224608768,62
574824448,62
94437376,62
2318647296,62
2314035200,62
13152531456,61
3235045376,61
3236200448,61
3240460288,61
3131641856,61
3228946432,61
3247042560,61
3250696192,61
3261399040,61
3221786624,61
951320576,61
1201414144,61
9099952128,61
996937728,61
1006075904,61
2314510336,61
964419584,60
3131555840,60
3249106944,60
453627904,60
3235586048,60
3237507072,60
1024765952,60
2311839744,60
3226275840,59
96231424,59
945958912,59
3228143616,59
2311880704,59
946630656,59
12452061696,59
12452062208,59
3234725888,58
2319507456,58
3233619968,58
3235082240,58
2310848512,58
3221360640,58
3246923776,58
3265671168,58
3224047616,58
3233345536,58
3263750144,58
2319572992,58
3221389312,58
3267051520,58
2315214848,58
13670273024,57
3269156864,57
3246620672,57
3236577280,57
3131543552,57
3234729984,57
3234701312,57
3239198720,57
3267055616,57
3239890944,57
950370304,57
2315059200,57
995917824,57
3228004352,56
13659017216,56
13664915456,56
13665783808,56
3224248320,56
3247190016,56
3228454912,56
958218240,56
2316017664,56
2317893632,56
973139968,56
1016328192,56
3247104000,56
2311421952,56
3229151232,56
13664899072,55
3264188416,55
3228655616,55
923856896,55
3237179392,55
3250216960,55
3222749184,55
3223990272,55
2315419648,55
946601984,55
3240468480,55
1273565184,55
959668224,55
3233894400,55
12734124032,55
2365091840,55
