LBA,Frequency
3154132992,83540
3154137088,83540
200622080,55011
996896768,36673
3154128896,30834
3154124800,30834
3230294016,20004
999854080,18337
999858176,18337
996897280,18337
1004871680,18337
1005912064,18302
3227918336,17943
996904960,17741
1005920256,10392
203030528,10271
211288064,10261
210763776,10090
2390904832,9360
2876526592,9360
3227648000,5521
1698000896,4754
1414897664,4754
566812672,4754
1317531648,4754
1414893568,4754
771227648,4754
3229868032,3129
3229863936,3040
3225088000,2348
2378797056,2096
846721024,2025
1012269056,1897
1012277248,1850
3227521024,1754
3225108480,1661
1453699072,1627
665161728,1422
3225124864,1364
2088738816,1350
2438230016,1214
2483105792,1032
962670592,1012
2088747008,979
1195483136,951
2341163008,943
1468346368,832
962678784,828
2088730624,826
3223347200,810
2088755200,796
962695168,785
591155200,743
3224326144,741
3225014272,727
3224961024,698
665165824,675
537935872,633
962686976,611
125100032,602
1126109184,471
3221237760,467
1155469312,432
45473792,429
45842432,422
607256576,408
3221245952,403
1126092800,401
3250847744,390
3250839552,354
3236012032,352
1759760384,339
3227934720,326
37240832,326
33169408,322
18205343744,320
1847066624,319
209453056,318
1841545216,317
532525056,315
3250798592,312
3225235456,311
1674104832,308
962711552,301
1535246336,300
3250683904,296
3237023744,295
1033216000,293
125108224,288
575737856,284
3241267200,282
1041612800,282
32157696,279
1535074304,279
3242622976,275
3242704896,272
1555689472,270
1226973184,270
422436864,270
1049169920,263
1841561600,258
686931968,258
1841569792,258
1768349696,257
315744256,255
520871936,250
3250913280,249
3236069376,246
962703360,243
884310016,240
3250851840,235
3242610688,235
2088763392,235
1049178112,234
622305280,233
215465984,232
3249926144,231
37244928,230
18205331456,229
1049186304,228
1662803968,228
3250868224,227
3221377024,226
3242708992,224
622313472,223
3250716672,222
58019840,221
1256894464,221
1636712448,219
3246268416,219
1063051264,219
1049194496,217
3241222144,217
1826234368,217
962744320,215
3246948352,215
962736128,213
1175687168,213
56762368,213
1049202688,212
1049210880,212
3238068224,212
1442697216,212
3247460352,211
3238031360,211
1049227264,210
1054748672,210
1063325696,210
1694642176,210
56766464,210
210190336,209
450576384,209
211320832,209
1368444928,209
1076703232,208
1076744192,208
1003159552,206
800612352,205
1080692736,204
539410432,204
652345344,203
3231055872,203
1170354176,203
211386368,202
1081913344,202
60743680,202
1534935040,201
1090310144,200
1048436736,199
3246518272,199
210305024,198
211582976,196
990674944,196
989548544,196
651857920,196
3225423872,196
869294080,196
973131776,195
3242106880,194
1063108608,194
1535295488,194
1256873984,194
534736896,194
665546752,193
665550848,193
2786086912,193
211484672,192
