LBA,Frequency
3154152960,136556
3154148864,136556
1190407680,58056
252661248,38704
3154140672,35488
3154144768,35488
17415806464,21834
581279232,21825
155729408,21619
154340864,21614
3222846976,21402
3229650432,20504
3235032576,20413
3233234432,20049
252661760,19352
252674560,19352
252670464,19352
734871040,19065
252678656,18619
3235036672,11866
19026435584,10940
252682752,10331
1200516608,10102
1190735360,10085
1201040896,10080
3242847744,9993
16956390912,9721
2575744512,9721
19026427392,8534
18995203584,5309
92474880,5082
3222306304,4462
18995187200,4345
3221990912,4231
20366544384,3845
20589551104,3433
18995179008,3364
2450222592,2159
2928913920,2141
3242618368,2119
20677352960,1845
20362341888,1839
1962270208,1758
842677760,1734
252686848,1713
17054088704,1688
18995211776,1674
3222142464,1631
19026451968,1612
19026443776,1605
1984126464,1605
2451459584,1527
252690944,1524
18250378752,1523
3042430464,1477
181624320,1442
18265488896,1440
842939904,1432
3222334976,1405
16744869376,1369
842481152,1348
2178465280,1251
18923580928,1248
3222322688,1239
887336448,1188
1366195712,1188
1904954880,1184
230493696,1184
2451820032,1178
19026378240,1155
18336038400,1145
1984175616,1139
3242659328,1129
1199222272,1110
3242634752,1107
181612032,1106
2553581056,1101
19026255360,1085
3242544640,1078
1430818304,1075
1857850880,1075
2450648576,1074
19026312704,1062
1557704192,1052
2455686656,1052
2451484160,1048
2450894336,1045
843881984,1045
2450927104,1044
3042864640,1037
18335100416,1035
2450533888,1027
3042086400,1008
843660800,994
1242697216,974
18852253184,966
423603712,952
758304256,950
20365413888,950
16814845440,948
680562176,938
19095592448,929
17296981504,924
19094244864,907
19026411008,840
3042438656,838
2450746880,827
19026198016,823
2451262976,817
19844963840,816
19221421568,816
17296965120,810
3221253632,802
20644138496,797
181399040,790
2845883904,776
844455424,775
843431424,773
16742333952,767
20370746880,764
2451238400,737
2452057600,722
2456702464,718
3151310336,701
2218823168,698
1665826304,697
1714699776,697
2236866048,692
3223621120,688
20645187072,688
3242843648,686
3242696192,680
758287872,680
1539468800,679
1427430912,679
3242704384,676
2452352512,670
844725760,657
843587072,652
18956140032,645
3242606080,605
18336046592,600
844512768,595
1984085504,591
844488192,589
1953402368,575
2396298752,575
18551041536,566
20361211392,566
18484420096,562
2447355392,558
19095600640,558
2318380544,550
2455236096,535
822795776,530
18574081536,523
2449772032,512
181394944,507
2318740992,502
616488448,493
19094318592,492
